Classificador,Média,RMS,Maximo,Mínimo,Desvio Padrão,Variância
5,2.33E-05,0.004295598,0.018768311,-0.016052246,0.00429562,1.85E-05
1,2.46E-05,0.001917372,0.012969971,-0.012451172,0.001917253,3.68E-06
5,2.37E-05,0.004095451,0.016998291,-0.024017334,0.004095465,1.68E-05
1,2.53E-05,0.001926873,0.015014648,-0.010955811,0.001926745,3.71E-06
5,2.32E-05,0.004201575,0.018707275,-0.022521973,0.004201595,1.77E-05
1,2.51E-05,0.001948364,0.013946533,-0.012237549,0.001948242,3.80E-06
5,2.32E-05,0.004249666,0.018554688,-0.022277832,0.004249688,1.81E-05
1,0.000025,0.001958703,0.012542725,-0.010253906,0.001958583,3.84E-06
5,2.58E-05,0.004142478,0.017272949,-0.018066406,0.00414248,1.72E-05
1,2.49E-05,0.001940603,0.015686035,-0.010253906,0.001940482,3.77E-06
5,2.54E-05,0.004208227,0.018432617,-0.019958496,0.004208234,1.77E-05
1,2.67E-05,0.001910852,0.013793945,-0.011322021,0.001910704,3.65E-06
5,2.10E-05,0.004556358,0.021697998,-0.020599365,0.004556401,2.08E-05
1,2.56E-05,0.001914268,0.014770508,-0.0105896,0.001914134,3.66E-06
5,2.57E-05,0.004179076,0.019134521,-0.018493652,0.004179081,1.75E-05
1,2.56E-05,0.001920375,0.012329102,-0.011077881,0.001920242,3.69E-06
5,2.33E-05,0.004158969,0.018554688,-0.016906738,0.004158987,1.73E-05
1,2.57E-05,0.001937839,0.013916016,-0.010986328,0.001937708,3.75E-06
5,2.32E-05,0.004208744,0.017028809,-0.018951416,0.004208764,1.77E-05
1,2.47E-05,0.001955163,0.015136719,-0.011993408,0.001955046,3.82E-06
5,2.17E-05,0.004258977,0.020111084,-0.023620605,0.004259007,1.81E-05
1,2.51E-05,0.001878259,0.014099121,-0.01171875,0.001878128,3.53E-06
5,2.67E-05,0.00426761,0.018035889,-0.017578125,0.004267612,1.82E-05
1,2.58E-05,0.001886533,0.015045166,-0.010040283,0.001886395,3.56E-06
5,2.22E-05,0.003828959,0.018005371,-0.015869141,0.003828971,1.47E-05
1,2.64E-05,0.001916203,0.012451172,-0.010894775,0.00191606,3.67E-06
5,2.60E-05,0.003871842,0.01965332,-0.024108887,0.003871832,1.50E-05
1,2.50E-05,0.001912622,0.013214111,-0.011871338,0.001912497,3.66E-06
5,2.28E-05,0.003694449,0.019805908,-0.016815186,0.003694453,1.36E-05
1,2.54E-05,0.001874529,0.012939453,-0.011291504,0.001874394,3.51E-06
5,2.48E-05,0.004043814,0.019042969,-0.016357422,0.004043819,1.64E-05
1,2.51E-05,0.001939883,0.018463135,-0.010620117,0.00193976,3.76E-06
5,2.20E-05,0.004038416,0.020629883,-0.02053833,0.004038436,1.63E-05
1,2.68E-05,0.001949563,0.015197754,-0.012237549,0.001949418,3.80E-06
5,2.43E-05,0.003842537,0.023498535,-0.017578125,0.003842538,1.48E-05
1,2.53E-05,0.001860867,0.011932373,-0.010620117,0.001860732,3.46E-06
5,2.37E-05,0.004107956,0.019470215,-0.019378662,0.00410797,1.69E-05
1,2.56E-05,0.001908576,0.015197754,-0.013183594,0.001908442,3.64E-06
5,2.56E-05,0.003826168,0.017883301,-0.018707275,0.003826159,1.46E-05
1,2.68E-05,0.001950474,0.014190674,-0.012115479,0.001950329,3.80E-06
5,2.28E-05,0.00385937,0.021484375,-0.021697998,0.00385938,1.49E-05
1,2.56E-05,0.001905979,0.014678955,-0.009033203,0.001905845,3.63E-06
5,2.37E-05,0.00371987,0.016906738,-0.014862061,0.003719869,1.38E-05
1,2.51E-05,0.00190974,0.015106201,-0.009338379,0.001909614,3.65E-06
5,2.53E-05,0.003395287,0.013885498,-0.018432617,0.003395261,1.15E-05
1,2.55E-05,0.001962156,0.016906738,-0.011474609,0.00196203,3.85E-06
5,2.24E-05,0.003586288,0.017700195,-0.014801025,0.003586289,1.29E-05
1,2.48E-05,0.001963072,0.013549805,-0.011230469,0.001962954,3.85E-06
5,2.46E-05,0.003614414,0.017822266,-0.017364502,0.003614403,1.31E-05
1,2.60E-05,0.001911042,0.013702393,-0.010772705,0.001910903,3.65E-06
5,2.48E-05,0.003403438,0.015350342,-0.015716553,0.003403415,1.16E-05
1,2.52E-05,0.001948328,0.014221191,-0.010467529,0.001948204,3.80E-06
5,2.32E-05,0.003193374,0.013336182,-0.014434814,0.003193354,1.02E-05
1,2.48E-05,0.002002919,0.014129639,-0.010986328,0.002002806,4.01E-06
5,2.43E-05,0.003280126,0.014404297,-0.015625,0.003280102,1.08E-05
1,2.58E-05,0.001994908,0.013793945,-0.010925293,0.00199478,3.98E-06
5,2.44E-05,0.003411443,0.017211914,-0.015777588,0.003411424,1.16E-05
1,2.40E-05,0.001968919,0.014953613,-0.012969971,0.001968812,3.88E-06
5,2.60E-05,0.003056985,0.018859863,-0.018280029,0.003056935,9.34E-06
1,2.58E-05,0.001975093,0.013305664,-0.010772705,0.001974964,3.90E-06
5,2.41E-05,0.002977045,0.016723633,-0.015533447,0.002977007,8.86E-06
1,2.56E-05,0.00192463,0.013549805,-0.010406494,0.001924498,3.70E-06
5,2.35E-05,0.003340864,0.015197754,-0.014648438,0.003340848,1.12E-05
1,2.61E-05,0.001929033,0.012237549,-0.011627197,0.001928894,3.72E-06
5,2.41E-05,0.003240462,0.013641357,-0.014160156,0.003240437,1.05E-05
1,2.49E-05,0.001933439,0.014129639,-0.01171875,0.001933317,3.74E-06
5,2.44E-05,0.003306425,0.017364502,-0.015228271,0.003306401,1.09E-05
1,2.59E-05,0.001932264,0.014373779,-0.01171875,0.00193213,3.73E-06
5,2.20E-05,0.003669874,0.02520752,-0.015533447,0.003669881,1.35E-05
