 Item ; Média ; RMS ; Maximo ; Mínimo ; Desvio Padrão ; Variância ;;;;;;;;
 Isolador Bom ; 0,0000250000 ; 0,0019587031 ; 0,0125427250 ;-0,0102539060 ; 0,0019585828 ; 0,0000038360 ;;;;;;;;
 Isolador Bom ; 0,0000249377 ; 0,0019406033 ; 0,0156860350 ;-0,0102539060 ; 0,0019404819 ; 0,0000037655 ;;;;;;;;
 Isolador Bom ; 0,0000266895 ; 0,0019108519 ; 0,0137939450 ;-0,0113220210 ; 0,0019107037 ; 0,0000036508 ;;;;;;;;
 Isolador Bom ; 0,0000256482 ; 0,0019142678 ; 0,0147705080 ;-0,0105896000 ; 0,0019141343 ; 0,0000036639 ;;;;;;;;
 Isolador Bom ; 0,0000256311 ; 0,0019203746 ; 0,0123291020 ;-0,0110778810 ; 0,0019202420 ; 0,0000036873 ;;;;;;;;
 Isolador Bom ; 0,0000256506 ; 0,0019378392 ; 0,0139160160 ;-0,0109863280 ; 0,0019377082 ; 0,0000037547 ;;;;;;;;
 Isolador Bom ; 0,0000247278 ; 0,0019551632 ; 0,0151367190 ;-0,0119934080 ; 0,0019550459 ; 0,0000038222 ;;;;;;;;
 Isolador Bom ; 0,0000251392 ; 0,0018782590 ; 0,0140991210 ;-0,0117187500 ; 0,0018781283 ; 0,0000035274 ;;;;;;;;
 Isolador Bom ; 0,0000257898 ; 0,0018865334 ; 0,0150451660 ;-0,0100402830 ; 0,0018863948 ; 0,0000035585 ;;;;;;;;
 Isolador Bom ; 0,0000263660 ; 0,0019162029 ; 0,0124511720 ;-0,0108947750 ; 0,0019160599 ; 0,0000036713 ;;;;;;;;
 Isolador Bom ; 0,0000249634 ; 0,0019126217 ; 0,0132141110 ;-0,0118713380 ; 0,0019124971 ; 0,0000036576 ;;;;;;;;
 Isolador Bom ; 0,0000254321 ; 0,0018745291 ; 0,0129394530 ;-0,0112915040 ; 0,0018743941 ; 0,0000035134 ;;;;;;;;
 Isolador Bom ; 0,0000250513 ; 0,0019398832 ; 0,0184631350 ;-0,0106201170 ; 0,0019397602 ; 0,0000037627 ;;;;;;;;
 Isolador Bom ; 0,0000268274 ; 0,0019495633 ; 0,0151977540 ;-0,0122375490 ; 0,0019494177 ; 0,0000038002 ;;;;;;;;
 Isolador Bom ; 0,0000252942 ; 0,0018608670 ; 0,0119323730 ;-0,0106201170 ; 0,0018607323 ; 0,0000034623 ;;;;;;;;
 Isolador Bom ; 0,0000256274 ; 0,0019085763 ; 0,0151977540 ;-0,0131835940 ; 0,0019084424 ; 0,0000036422 ;;;;;;;;
 Isolador Bom ; 0,0000267920 ; 0,0019504737 ; 0,0141906740 ;-0,0121154790 ; 0,0019503287 ; 0,0000038038 ;;;;;;;;
 Isolador Bom ; 0,0000255750 ; 0,0019059787 ; 0,0146789550 ;-0,0090332031 ; 0,0019058452 ; 0,0000036322 ;;;;;;;;
 Isolador Bom ; 0,0000250940 ; 0,0019097403 ; 0,0151062010 ;-0,0093383789 ; 0,0019096136 ; 0,0000036466 ;;;;;;;;
